,Número receta,Nombre receta,ingredientes,ingredientes gustativos,ingredientes +elaboraciones,ingredientes + elaboraciones + técnicas,sabores,texturas
,34,"“Recuit” helado de almendra con piñones, miel de abeto, trufa negra y anchoa","pasta de almendra marcona cruda, agua, estabilizante para sorbete, hoja de gelatina, goma xantana, sal, aceite de maíz, trufa negra Tuber melanosporum, anchoas en salazón, aceite de oliva virgen extra, piñones, pan de coca, miel de abeto, sal en escamas","pasta de almendra marcona cruda, sal, aceite de maíz, trufa negra Tuber melanosporum, anchoas en salazón, aceite de oliva virgen extra, piñones, pan de coca, miel de abeto, sal en escamas","helado de almendra, aceite de maíz, trufa negra Tuber melanosporum, anchoas en salazón, aceite de oliva virgen extra, piñones, pan de coca, miel de abeto, sal en escamas","helado de almendra, aceite de trufa negra, filetes de anchoa en aceite, piñones tostados, tostadas de pan de coca, miel de abeto, sal en escamas","helado de almendra, piñones, trufe negra, miel de abeto, pan, anchoas ","crujiente, helado"
,38,Taco de parmesano con tomate y albahaca,"queso Parmigiano Reggiano, agua, carragenato kappa, hojas de de gelatina, nata 35% de materia grasa, sal, pimienta negra, tomates cherry, aceite de oliva virgen extra, albahaca, hojas de albahaca, aceite de almendra amarga, Caviaroli de vinagre balsámico, Caviaroli de aceite arbequina","queso Parmigiano Reggiano, nata 35% de materia grasa, sal, pimienta negra, tomates cherry, aceite de oliva virgen extra, albahaca, aceite de almendra amarga, Caviaroli de vinagre balsámico, Caviaroli de aceite arbequina","láminas de gelatina de suero de parmesano, cremoso de queso parmesano, tomates confitados, albahaca, aceite de almendra amarga, Caviaroli de vinagre balsámico, Caviaroli de aceite arbequina","láminas de gelatina de suero de parmesano, cremoso de queso parmesano, tomates confitados, albahaca, aceite de almendra amarga, Caviaroli de vinagre balsámico, Caviaroli de aceite arbequina","queso Parmigiano Reggiano, tomate San Marzano, albahaca, aceite de arbequina, aceite de almendra amarga, vinagre de Módena","gelatinoso, cremoso"
,39,Anguila a la crema con caviar,"soja cruda, agua mineral, anguila ahumada, agua, goma xantana, sal, agar-agar en polvo, hojas de gelatina, aceite de oliva virgen extra, ajo seco, caviar beluga","soja cruda, anguila ahumada, sal, aceite de oliva virgen extra, ajo seco, caviar beluga","láminas de gelatina de caldo de anguila, crema de soja, crema de anguila ahumada, aceite de ajo, caviar beluga","láminas de gelatina de caldo de anguila, crema de soja, crema de anguila ahumada, aceite de ajo, caviar beluga","anguila ahumada, caviar beluga, ajo, soja","gelatinoso, cremoso"
,40,"Yuba de dashi con erizos, edamame y maridaje de salsa de soja","alga kombu deshidratada,  katsuobushi, agua, carragenato kappa, salsa de soja, hojas de gelatina, soja cruda, agua mineral, goma xantana, nata líquida 35% de materia grasa, erizos, tofu blanco, edamame fresco, sal,  shiso rojo deshidratado en polvo, salsa de soja Marunaka","alga kombu deshidratada,  katsuobushi, carragenato kappa, soja cruda, nata líquida 35% de materia grasa, erizos, tofu blanco, edamame fresco, sal,  shiso rojo deshidratado en polvo, salsa de soja Marunaka","láminas de gelatina de dashi, nata de soja, erizos, tofu blanco, edamame fresco,shiso rojo deshidratado en polvo, salsa de soja Marunaka","láminas de gelatina de dashi, nata de soja, erizos, tofu blanco, edamame fresco, shiso rojo deshidratado en polvo, salsa de soja Marunaka","dashi, soja, erizo, tofu, edamame, shiso rojo","gelatinoso, cremoso, solido"
,42,Nuestros macarrones a la carbonara,"huesos de jamón ibérico, agua, carragenato kappa, hojas de gelatina, salsa de soja, sal, hielo, beicon ahumado, mantequilla, nata 35% de materia grasa, goma xantana, pimienta negra, queso Parmigiano Reggiano, yema de huevo pasteurizada","huesos de jamón ibérico, salsa de soja, sal, beicon ahumado, mantequilla, nata 35% de materia grasa, pimienta negra, queso Parmigiano Reggiano, yema de huevo pasteurizada","caldo de jamón ibérico, salsa de soja, beicon ahumado, mantequilla, nata 35% de materia grasa, pimienta negra, queso Parmigiano Reggiano,","macarrones de gelatina de caldo de jamón ibérico, espuma caliente de carbonara, dados de beicon ahumad, mantequilla de beicon, dados de Parmesano, yema de huevo ligada, queso Parmigiano Reggiano, pimienta negra",carbonara,"gelatinoso, cremoso, solido"
,44,Sashimi de verduras,"hojas de eucalipto, aceite de maíz, vainilla, endivias, agua, vinagre de arroz, azúcar, sal, pepino, hinojo, apio, tomates cherry, aceite de oliva virgen extra, pimienta negra, cebolla roja, salsa de soja, manzana Golden, vinagre de granada, jengibre fresco,  zumo de yuzu, rábanos redondos, aguacate, menta piperita en polvo, anís seco en polvo, ","hojas de eucalipto, aceite de maíz, vainilla, endivias, vinagre de arroz, azúcar, sal, pepino, hinojo, apio, tomates cherry, aceite de oliva virgen extra, pimienta negra, cebolla roja, salsa de soja, manzana Golden, vinagre de granada, jengibre fresco,  zumo de yuzu, rábanos redondos, aguacate, menta piperita en polvo, anís seco en polvo, ","aceite de eucalipto, aceite de vainilla, vainilla, endivias, vinagre de arroz, azúcar, sal, pepino, hinojo, apio, tomates cherry, aceite de oliva virgen extra, pimienta negra, cebolla roja, salsa de soja, manzana Golden, vinagre de granada, jengibre fresco,  zumo de yuzu, rábanos redondos, aguacate, menta piperita en polvo, anís seco en polvo, ","miniendivias con vainilla, pepino en vinagre, hinojo en vinagre, apio en vinagre, tomates aliñados ahumados, yanachi de cebolla roja, manzana con vinagre de granada, jengibre con yuzu, láminas de rábano, trozos de aguacate, pimienta negra,  menta piperita en polvo, anís seco en polvo, ","endivias, vainilla, pepino en vinagre, hinojo en vinagre, apio en vinagre, tomate San Marzano ahumado, cebolla roja, soja, manzana Golden, vinagre de granada, jengibre, yuzu, rábano, aguacate, anís, menta piperita",multitextura sólida
,45,Nigiri de salmón y caballa marinada con coliflor en vinagre,"caballa, salsa jang, salsa de soja, vinagre de arroz, agua, zumo de yuzu, sal, salmón salvaje, azúcar, aceite de oliva virgen extra, coliflor, jengibre, aceite de maíz, ceps, aceite de girasol, zumo de limón, goma xantana, huevas de salmón ","caballa, salsa jang, salsa de soja, vinagre de arroz, zumo de yuzu, sal, salmón salvaje, azúcar, aceite de oliva virgen extra, coliflor, jengibre, aceite de maíz, ceps, aceite de girasol, zumo de limón, huevas de salmón ","caballa marinada, salmón ahumado, cuscús de coliflor, vinagre de arroz, vinagreta de ceps, huevas de salmón, aceite de maiz","caballa marinada, salmón ahumado, quenelles de coliflor, vinagreta de ceps, huevas de salmón","caballa marinada, salmón ahumado, coliflor, vinagreta de ceps, huevas de salmón",multitextura sólida
,46,Dumplings de ceps,"champiñones, ceps deshidratados, agua, salsa jang, sal, carragenato kappa,  salsa de soja, hojas de gelatina, ceps, ajo, jengibre, pimienta negra, laurel, aceite de girasol, aceite de maíz, vinagre de arroz, zumo de limón, goma xantana, piñones, cebollino, perifollo","champiñones, ceps deshidratados,salsa jang, sal, salsa de soja, ceps, ajo, jengibre, pimienta negra, laurel, aceite de girasol, aceite de maíz, vinagre de arroz, zumo de limón, piñones, cebollino, perifollo","láminas de gelatina de caldo de setas, ceps confitados, vinagreta de ceps, piñones, relleno de dumplings, perifollo","láminas de gelatina de caldo de setas, piñones tostados, relleno de dumplings, perifollo","ceps, piñones, vinagreta, cebollino","multitextura sólida, liquido, gelatinoso"
,48,Empanadilla de salsa verde con navajas,"mejillones, chirlas, agua, sal, perejil, ajo, vino blanco, salsa jang, aceite de oliva virgen extra, goma xantana, guisantes, carragenato kappa, hoja de gelatina, alginato sódico, agua mineral, gluconolactato, aceite de oliva suave, navajas, ","mejillones, chirlas, sal, perejil, ajo, vino blanco, salsa jang, aceite de oliva virgen extra, guisantes, agua mineral, aceite de oliva suave, navajas, ","láminas de gelatina de salsa verde, esféricos de salsa verde, esféricos de guisantes, navajas, guisantes, aceite de oliva virgen extra","láminas de gelatina de salsa verde, esféricos de salsa verde, esféricos de guisantes, navajas, guisantes, aceite de oliva virgen extra","salsa verde, guisantes, navajas, ","multitextura sólida, liquido, gelatinoso"
,51,Almeja en vinagreta de ciruela con lima helada de pepino,"pepino,  vinagre de arroz, hoja de gelatina, limas, aceite de maíz ahumado, ciruelas rojas, vinagre de umeboshi, aceite de oliva virgen extra, aceite de almendra amarga, zumo de limón,  agua, lecitina de soja en polvo, almejas, pimienta rosa","pepino,  vinagre de arroz, aceite de maíz ahumado, ciruelas rojas, vinagre de umeboshi, aceite de oliva virgen extra, aceite de almendra amarga, zumo de limón, almejas, pimienta rosa","jugo de pepino y vinagre helado, jugo y puré de ciruela, vinagre de umeboshi, aceite de oliva virgen extra, aceite de almendra amarga, aire de limón, almejas, pimienta rosa","gajo de pepino y vinagre helado, vinagreta de ciruela asada, aire de limón, almejas, pimienta rosa","pepino, vinagre, vinagreta de ciruela asada, limón, almeja, aceite de
almendra amarga","helado, solido, aire"
,54,Tuétano de vieira con caviar,"huesos de tuétano, agua, carcasa de pollo, muslos de pollo, sal, goma xantana, vieiras, chalota, vinagre de Jerez, menta piperita fresca, azúcar, hojas pequeñas de acedera, caviar beluga","huesos de tuétano, carcasa de pollo, muslos de pollo, sal, vieiras, chalota, vinagre de Jerez, menta piperita fresca, azúcar, hojas pequeñas de acedera, caviar beluga","crema de tuétano, láminas de vieira, chalota encurtida, hojas pequeñas de acedera, caviar beluga","crema de tuétano, láminas de vieira, chalota encurtida, hojas pequeñas de acedera, caviar beluga","tuétano, vieira, chalota encurtida, acedera, caviar beluga","solido, cremoso"
,60,Effiloché de buey de mar,"alga kombu deshidratada, katsuobushi, agua, hojas de gelatina, salsa de soja, carragenato kappa, zumo de yuzu, goma xantana, buey de mar, sal, hinojo, zumo de limón, jengibre, huevas de pez volador, perifollo, salicornia, hojas de hinojo","alga kombu deshidratada, katsuobushi, salsa de soja, zumo de yuzu, buey de mar, sal, hinojo, zumo de limón, jengibre, huevas de pez volador, perifollo, salicornia, hojas de hinojo","juliana de gelatina de dashi, salsa de dashi, carne de buey de mar cocido, agua interior del buey de mar cocido, coral del buey de mar cocido, agua de hinojo ligada, láminas de jengibre con yuzu,  huevas de pez volador, perifollo, salicornia, hojas de hinojo","juliana de gelatina de dashi, salsa de dashi, carne de buey de mar cocido, esencia de buey de mar, agua de hinojo ligada, láminas de jengibre con yuzu,  huevas de pez volador, perifollo, salicornia, hojas de hinojo","dashi, buey de mar, jengibre, yuzu,  huevas de pez volador, perifollo, salicornia, hinojo","solido, gelatinoso"
,62,Salmonete con papada y ñoquis de berenjena asada,"papada de cerdo ibérico, sal, pimienta negra, salmonetes, hígados de salmonete, aceite de oliva virgen extra, salsa de soja, azúcar, berenjenas, gluconolactato cálcico, mantequilla, alginato sódico, agua mineral, aceite de maíz, yogur natural, alga kombu deshidratada, katsuobushi,  miso rojo, yema de huevo pasteurizada, mirin, cebolla picada, jengibre, cidronela fresca, ajo, aceite de oliva 0.4, aceite de sésamo,  zumo de naranja, zumo de lima, miel de romero,  vinagre de arroz, goma xantana, sésamo blanco, flores de borraja, ","papada de cerdo ibérico, sal, pimienta negra, salmonetes, hígados de salmonete, aceite de oliva virgen extra, salsa de soja, azúcar, berenjenas, mantequilla, aceite de maíz, yogur natural, alga kombu deshidratada, katsuobushi,  miso rojo, yema de huevo pasteurizada, mirin, cebolla picada, jengibre, cidronela fresca, ajo, aceite de oliva 0.4, aceite de sésamo,  zumo de naranja, zumo de lima, miel de romero,  vinagre de arroz, sésamo blanco, flores de borraja, ","láminas de papada de cerdo ibérico confitada, salmonetes, puré de hígado de salmonete, ñoquis esféricos de berenjena asada, yogur natural, salsa de miso, salsa teriyaki, aceite de sésamo, sésamo blanco, flores de borraja, ","láminas de papada de cerdo ibérico confitada, salmonetes, puré de hígado de salmonete, ñoquis esféricos de berenjena asada, yogur natural, salsa de miso, salsa teriyaki, aceite de sésamo, sésamo blanco, flores de borraja, ","salmonete a la plancha, paté de hígado, berenjena asada, yogur natural, papada de cerdo ibérico confitada, miso, sésamo, flores de borraja, salsa teriyaki","solido, cremoso"
,64,Langostino unilateral al ajillo,"aceite de oliva virgen extra, ajo, aceite de girasol, guindillas, perejil, agua, lecitina de soja en polvo, langostinos, ajo negro, camarones, harina de trigo, aceite de oliva suave, sal","aceite de oliva virgen extra, ajo, aceite de girasol, guindillas, perejil, langostinos, ajo negro, camarones, harina de trigo, aceite de oliva suave, sal","aceite de ajo, aceite de guindilla, aire de perejil, langostinos, láminas de ajo negro, camarones fritos","aceite de ajo, aceite de guindilla, aire de perejil, langostinos, láminas de ajo negro, camarones fritos","ajo, guindilla, langostino a la plancha, pescaditos fritos, perejil","solido, aire, crujiente"
,67,Copa fría de liebre al estragón,"liebre, salsa de soja, vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra en grano, aceite de oliva 0.4°, agua, estragón, sal, naranjas, armañac","liebre, salsa de soja, vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra en grano, aceite de oliva 0.4°, estragón, sal, naranjas, armañac","consomé de liebre al estragón, estragón, naranjas, armañac","consomé de liebre al estragón, estragón, naranjas, armañac","caldo de liebre, estragón, naranja, armañac",liquido
,68,Galleta helada de liebre y foie gras,"liebre, salsa de soja, vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra en grano, aceite de oliva 0.4°, agua, sal, foie gras, armañac, pimienta negra, goma xantana, aceite de maíz, trufa negra Tuber melanosporum, obulato, cacao en polvo","liebre, salsa de soja, vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra en grano, aceite de oliva 0.4°, sal, foie gras, armañac, pimienta negra, aceite de maíz, trufa negra Tuber melanosporum, obulato, cacao en polvo","galleta helada de liebre y foie gras, aceite de trufa negra, obulato, cacao en polvo","galleta helada de liebre y foie gras, aceite de trufa negra, obulato, cacao en polvo","liebre, foie gras, trufa negra, cacao, ",cremoso
,69,Laksa de liebre,"liebre, salsa de soja, vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra en grano, aceite de oliva 0.4°, agua, sal, pasta de almendra marcona cruda, goma xantana, citronela fresca, lima kaffir, jengibre chalota, Fish Sauce, Tom Yum, leche de coco, fideos de arroz, aceite de oliva virgen extra, lima","liebre, salsa de soja, vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra en grano, aceite de oliva .0.4°, sal, pasta de almendra marcona cruda, citronela fresca, lima kaffir, jengibre chalota, Fish Sauce, Tom Yum, leche de coco, fideos de arroz, aceite de oliva virgen extra, lima","jugo de liebre, caldo de liebre, crema de almendra, laksa de liebre, fideos de arroz cocido, lima","jugo de liebre, laksa de liebre, fideos de arroz cocido, lima","jugo de liebre, laksa de liebre, fideos de arroz, lima","solido, liquido"
,73,Filete de cerdo ibérico pibil,"carne magra de cerdo ibérico, huesos de espinazo de cerdo ibérico, huesos de jamón ibérico, cebolla, zanahoria, tomate, cilantro, agua, sal, aceite de oliva virgen 0.4°, zumo de naranja, glucosa líquida, pasta de achiote, manteca de cerdo, cebolla morada, zumo de lima, orégano seco en polvo, filetes de cerdo, pimienta negra, agua mineral, alginato sódico, maíz en conserva, goma xantana, gluconolactato cálcico, aceite de maíz, panceta ibérica curada, aceite de girasol, chicharrones, ","carne magra de cerdo ibérico, huesos de espinazo de cerdo ibérico, huesos de jamón ibérico, cebolla, zanahoria, tomate, cilantro, sal, aceite de oliva virgen 0.4°, zumo de naranja, glucosa líquida, pasta de achiote, manteca de cerdo, cebolla morada, zumo de lima, orégano seco en polvo, filetes de cerdo, pimienta negra, maíz en conserva, aceite de maíz, panceta ibérica curada, aceite de girasol, chicharrones, ","jugo de cerdo ibérico, vinagreta de achiote, cebolla morada aliñada, solomillo de cerdo a baja temperatura, esféricos de maíz, láminas de panceta ibérica curada, aceite de cilantro, chicharrones, reducción de naranja, cilantro","jugo de cerdo ibérico, vinagreta de achiote, cebolla morada aliñada, solomillo de cerdo a baja temperatura, esféricos de maíz, láminas de panceta ibérica curada, aceite de cilantro, chicharrones, reducción de naranja, cilantro","solomillo de cerdo, jugo de cerdo, vinagreta de achiote, maiz, cilantro, chicharrones de cerdo, panceta de cerdo, cebolla aliñada, naranja","solido, liquido"
,76,Láminas de ternera con royale de tuétano y trufa,"alas de pollo, pollo, huesos de ternera, pecho de ternera, churrasco de ternera, vino tinto, azúcar, cebolla, zanahoria, puerro, tomate, sal, aceite de oliva virgen 0.4°, agua, carcasa de pollo, muslos de pollo, huesos de tuétano, agar-agar en polvo, goma xantana, pimienta negra,  sobrecostilla de wagyu, sal gruesa, aceite de maíz, trufa negra Tuber melanosporum, pan de coca, sal en escamas","alas de pollo, pollo, huesos de ternera, pecho de ternera, churrasco de ternera, vino tinto, azúcar, cebolla, zanahoria, puerro, tomate, sal, aceite de oliva virgen 0.4°, carcasa de pollo, muslos de pollo, huesos de tuétano, pimienta negra,  sobrecostilla de wagyu, aceite de maíz, trufa negra Tuber melanosporum, pan de coca, sal en escamas","jugo de carne, gelatina caliente de tuétano, láminas de carne wagyu, puré de trufa negra, reducción de vino tinto, picatostes de pan, sal en escamas, pimienta negra","jugo de carne, gelatina caliente de tuétano, láminas de carne wagyu, puré de trufa negra, reducción de vino tinto, picatostes de pan, sal en escamas, pimienta negra","wagyu, tuétano, trufa negra, picatoste, jugo de carne
","solido, gelatinoso, crujiente"
