Número receta, ingredientes
26,   escórpora  +  macarrón  +  minicalabacín  +  tomate  +  setas  +  sepia  +  cebolla  +  tinta  +  cinco pimientas  +  brandy  +  mantequilla  +  sal
27,   bogavante  +  morilla  +  habita  +  perejil  +  perifollo  +  cebollino  +  molleja de ternera  +  bacalao  +  ajo  +  jugo de trufa negra  +  agua de mar
28,   gambas  +  patata  +  alioli  +  caldo de gambas  +  ajo  +  perejil  +  tomate  +  pimentón  +  mantequilla  +  nata  +  agua de mar
29,   alubia del ganxet  +  cebollita  +  oreja de cerdo  +  morro de cerdo  +  jugo de carne  +  bacalao  +  perejil
30,   bogavante  +  trufa negra  +  perejil  +  níscalo  +  oreja de cerdo  +  patata  +  col  +  tocino  +  sal
31,   merluza  +  morralet  +  ajo  +  mantequilla  +  pimiento rojo  +  berenjena  +  cebolla  +  lenteja  +  perifollo  +  cebollino  +  sal
32,   langosta  +  bacon  +  habita  +  jugo de carne  +  perejil  +  mantequilla noisette  +  sal
33,   pato  +  foie-gras de pato  +  oronja  +  jugo de carne  +  trufa negra  +  endivia  +  sal
34,   caneton  +  vino tinto  +  aceite de oliva  +  habita  +  cebollita  +  sal
35,   lomo de conejo  +  pie de cerdo  +  caracol  +  setas  +  jugo de carne  +  oporto  +  yema de huevo  +  nata  +  perejil  +  sal
36,   pichón  +  patata  +  trufa negra  +  oporto  +  jugo de carne  +  nata  +  mantequilla  +  endivia  +  sal
37,   azúcar  +  polvo de almendra  +  piña
38,   azúcar  +  polvo de almendra  +  naranja rallada  +  cointreau  +  mantequilla
39,   azúcar moreno  +  azúcar  +  piñón
40,   pasta choux  +  caramelo  +  fresa  +  pistacho tostado
41,   mantequilla  +  praliné de avellana  +  pistacho verde
42,   hojaldre  +  caracol  +  romero  +  laurel  +  albahaca  +  orégano  +  tomate  +  calabacín  +  sal
43,   bacalao salado  +  habita  +  tomate  +  menta  +  jamón  +  vinagre de jerez  +  aceite de oliva
44,   almendra tierna  +  cigala  +  aceite de oliva  +  ajo  +  espárrago verde  +  cep  +  melisa  +  sal
45,   bogavante  +  cebolla  +  ajo  +  tomate  +  pimiento rojo  +  pepino  +  albahaca  +  aceite de oliva  +  vinagre de jerez  +  pan  +  nata  +  mayonesa
46,   ajo  +  tomate  +  pan  +  aceite de oliva  +  calabacín  +  champiñón  +  yema de huevo  +  sal
47,   minipescados  +  sopa de pescado  +  romesco
48,   alcachofa  +  buey de mar  +  trufa negra  +  nata  +  mantequilla  +  sal
49,   alcachofa  +  foie-gras de pato  +  trufa negra  +  miniespárrago  verde  +  nata  +  mantequilla  +  jugo de carne  +  oporto  +  pistacho  +  sal
50,   coquina  +  patata  +  cava  +  mantequilla  +  nata  +  chalota  +  perifollo
51,   rapet  +  patata  +  azafrán  +  ajo tierno  +  pie de ternera  +  aceite de oliva  +  perifollo  +  sal
52,   cep  +  patata  +  trufa negra  +  hierba de los canónigos  +  panceta curada a la pimienta  +  piñón  +  riñón de conejo  +   cebolla tierna  +  pimienta rosa  +  perifollo  +  sal
53,   espárrago verde  +  trufa negra  +  patata  +  ancas de rana  +  mantequilla  +  sal
54,   rapet  +  panceta curada  +  espárrago verde  +  romesco  +  ancas de rana  +  manzana  +  alcachofa  +  ensaladas
55,   pelaya  +  alcachofa  +  trufa negra  +  mostaza  +  nata  +  perifollo  +  cebollino  +  oreja de cerdo  +  sal
56,   carrillera de rapet  +  kokotxas de merluza  +  espárrago verde  +  alcachofa  +  trufa negra  +  perejil  +  mantequilla  +  sal
57,   carrillera de rapet  +  ostra  +  caviar  +  perejil  +  mantequilla
58,   carrillera de rapet  +  rebozuelo  +  coral de bogavante  +  perejil  +  limón  +  ajo  +  pimiento del Padrón  +  sal
59,   lubina  +  tomate  +  ajo  +  cebollita  +  patata  +  jugo de carne  +  mantequilla  +  vinagre de jerez  +  sal
60,   merluza  +  tomate  +  alcachofa  +  sepia  +  panceta curada a la pimienta  +  nata  +  perejil  +  mantequilla  +  jugo de trufa negra
61,   rape  +  morralet  +  cep  +  ajo tierno  +  perifollo  +  piñón  +  sal
62,   solomillo de buey  +  jugo de carne  +  oporto  +  trufa negra  +  piñón  +  albahaca  +  ajo  +  sal
63,   brioche  +  cereza  +  pera  +  nata  +  azúcar
64,   azafrán  +  leche  +  huevo  +  azúcar  +  nata  +  chocolate
65,   crema pastelera  +  queso fresco  +  azúcar  +  frambuesa  +  nata  +  vainilla
66,   hojaldre  +  azúcar
67,   mantequilla  +  azúcar  +  almendra  +  naranja  +  cacao  +  anís
68,   pasta choux  +  nata  +  café  +  chocolate
69,   uva espina  +  azúcar
70, espárrago verde  +  jugo de trufa negra
71,  ajo  +  cilantro  +  aceite de oliva  +  vinagre de jerez  +  buey de mar  +  trompeta de la muerte  +  alcachofa  +  hierba de los canónigos  +  sal
72,   col  +  foie-gras de pato  +  trufa negra  +  cebollino  +  sal
73,   seso de cordero  +  buey de mar  +  calabacín  +  pimienta rosa  +  sal
74,   cabeza de ternera  +  bogavante  +  alubia  +  rebozuelo  +  trufa negra  +  espárrago verde  +  cebollino  +  sal
75,   bonito  +  pimiento rojo  +  tomate  +  berenjena  +  cebolla  +  romesco  +  albahaca  +  ensaladas
76,   patata  +  puerro  +  nata  +  mejillón de roca  +  pimienta rosa  +  hinojo fresco
77,   chipirón  +  espárrago verde  +  morilla  +  perejil  +  perifollo  +  cebollino  +  pie de ternera  +  trompeta de la muerte  +  perrechico  +  arroz  +         calabacín  +  trufa negra  +  sal
78,   trufa negra  +  foie-gras de pato  +  judía verde  +  almendra tierna  +  aceite de oliva  +  vinagre de jerez  +  sal
79,   salsifís  +  caracolines  +  tomate  +  piñón  +  sal
80,   verdura  +  piñón  +  avellana  +  pistacho  +  ajo  +  tomate  +  trufa negra  +  aceite de oliva  +  vinagre de jerez  +  nata  +  perejil  +  sal
81,   cigala  +  fideo cabello de ángel  +  ajo  +  aceite de oliva  +  sepia  +  sal
82,   puerro  +  carrillera de cordero  +  lengua de cordero  +  trompeta de la muerte  +  aceite de oliva  +  alcachofa  +  cebolla tierna  +  zanahoria  +  sal
83,   santiaguiños  +  pimentón  +  aceite de oliva  +  patata  +  col  +  garbanzo  +  chalota  +  sal
84,   bacalao salado  +  gambas  +  habita  +  molleja de ternera  +  mantequilla  +  perifollo  +  cebollino  +  hinojo  +  limón
85,   pajel  +  perejil  +  cebollino  +  limón  +  cebolla tierna  +  piñón  +  sal
86,   atún  +  cilantro  +  ajo  +  aceite  +  vinagre de jerez  +  cebolla  +  patata  +  tomate  +  ensaladas  +  sal
87,   lubina  +  espárrago verde  +  patata  +  chalota  +  salsa de soja  +  aceite de oliva  +  perejil
88,   pelaya  +  calabacín  +  avellana  +  nata  +  mantequilla  +  limón  +  sal
89,   oreja de cerdo  +  pan rallado  +  perejil  +  gambita  +  rebozuelo  +  patata  +  mantequilla  +  jugo de carne  +  sal
90,   alita de pollo  +  langosta  +  patata  +  rebozuelo  +  habita  +  vino rancio  +  uva pasas  +  mantequilla  +  perejil  +  sal
91,   pichón  +  cebolla tierna  +  jugo de carne  +  oporto  +  trufa negra  +  piñón  +  foie-gras de pato  +  sal
92,   molleja de ternera  +  calamar  +  alubia de Santa Pau  +  rebozuelo  +  coliflor  +  jugo de carne  +  vinagre de jerez  +  mantequilla  +  sal
93,   pasta sablée  +  limón  +  piña  +  nata  +  cilantro en grano
94,   cacao  +  azúcar  +  chocolate  +  pipermint
95,   pera  +  leche  +  mantequilla  +  polvo de almendra  +  licor de pera
96,   plátano  +  limón  +  tomillo limonero  +  lima  +  ron blanco  +  azúcar moreno  +  menta
97,   albaricoque  +  miel  +  nata  +  azúcar moreno  +  piñón
98,   piña  +  nata  +  kirsch  +  chocolate
99,   brioche  +  piel de naranja confitada
100,  azúcar  +  avellana  +  chocolate
101,  mantequilla  +  azúcar  +  sal
102,   bacon  +  berenjena  +  pan de coca  +  costillita de conejo  +  aceite de oliva virgen
103,   almendra  +  orégano  +  ajo  +  perejil  +  alcachofa  +  costillita de conejo  +  parmesano
104,   mató  +  anchoa  +  tomate  +  albahaca  +  cebollino  +  vinagre de jerez  +  gambita  +  semilla de amapola  +  piñón
105,   vinagre balsámico  +  anchoa  +  cebolla tierna  +  aguacate
106,   aguacate  +  buey de mar  +  menta  +  hinojo  +  perifollo  +  lima  +  cilantro  +  sal
107,   sardinita  +  coliflor  +  cebolla tierna  +  azafrán  +  vinagre de jerez  +  aceite de oliva  +  sal
108,   oronja  +  cebolla tierna  +  jamón ibérico  +  ensaladas  +  riñón de conejo  +  piñón
109,   langostino  +  seso  +  habita  +  minihinojo  +  senderuela  +  chalota  +  espárrago verde  +  coliflor  +  minizanahoria  +  tomate  + nata  +  hierbabuena  +  sal
110,   bacalao salado  +  alubia  +  tomate  +  pimiento rojo  +  cebolla tierna  +  bogavante
111,   calamar  +  senderuela  +  espárrago verde  +  guisante  +  trufa negra  +  sal
112,   remolacha  +  caviar  +  limón  +  aceite de oliva  +  cebollino
113,   almendra tierna  +  trufa negra  +  alcachofa  +  chipirón  +  nata  +  sal
114,   vieiras  +  trufa negra  +  pimienta rosa  +  limón  +  alcachofa  +  foie-gras de pato  +  perifollo  +  sal
115,   ostra  +  senderuela  +  cebolla tierna  +  agua de mar  +  tuétano de lechuga  +  perifollo  +  hinojo  +  cebollino  +  pimienta rosa
116,   ostra  +  pie de ternera  +  chalota  +  vinagre  +  mantequilla  +  nata  +  cep
117,   cañaillas  +  romesco  +  alcachofa  +  habita  +  cebolla tierna  +  pan  +  escarola  +  hierba de los canónigos  +  tomate  +  bacalao salado  +   ventresca de atún  +  atún en sorra  +  anchoa
118,   bogavante  +  seso  +  cebolla tierna  +  trufa negra  +  perifollo  +  piñón  +  habita  +  jamón  +  calabacín
119,   salmonete  +  berenjena  +  pan  +  bacalao salado  +  cebolla tierna  +  setas  +  cabeza de ternera  +  tomate  +  pimiento  +  mató  + huevo de codorniz  +  coliflor  +  vinagre  +  anchoa  +  rábano  +  ensaladas  +  alcachofa
120,   masa de pizza  +  mozzarella de búfala  +  espárrago verde  +  cigala  +  trufa negra  +  tomate
121,   puerro  +  cigala  +  hueva de cigala  +  avellana  +  cebollino  +  nata  +  aceite de oliva  +  sal
122,   molleja de ternera  +  cigalitas  +  trufa negra  +  mostaza en grano  +  cebollino  +  nata  +  aceite de oliva  +  sal
123,   sepia  +  tomate  +  habita  +  albahaca  +  tallarines frescos  +  tinta  +  parmesano  +  piñón
124,   rapet  +  panceta  +  espárrago verde  +  romesco  +  ancas de rana  +  manzana  +  alcachofa  +  ensaladas
125,   sot-l’y-laisse  +  bogavante  +  calabacín  +  ensaladas  +  romesco  +  alcachofa
126,   consomé  +  pichón  +  trufa negra  +  zanahoria  +  apio  +  habita  +  coliflor  +  calabacín  +  cebolla tierna  +  col  +  sal
127,   langosta  +  panceta  +  habita  +  rebozuelo  +  oreja de cerdo  +  col  +  gambas  +  cep  +  puerro  +  cigala  +  patata  +  oporto  +  jugo de carne  +  santiaguiños  +  salsifís  +  trufa negra  +  pimiento del Padrón  +  sal
128,   cabeza de ternera  +  calçots  +  romesco  +  trufa negra  +  habita  +  senderuela
129,   caneton  +  canela  +  vinagre  +  aceite de oliva  +  cebolla tierna  +  calabacín  +  zanahoria  +  manzana  +  judía verde  +   ajo tierno  +  piel de pato  +  sal
130,   remolacha  +  cigala  +  hueva de cigala  +  chalota  +  cava  +  manzana  +  apio  +  sal
131,   salmonete  +  col  +  senderuela  +  alubia  +  pan  +  trufa negra  +  foie-gras de pato  +  panceta cruda  +  oreja de cerdo  +   manteca de cerdo  +  sal
132,   mejillón de roca  +  tomate  +  ensaladas  +  mozzarella fresca  +  anchoa  +  cebollino  +  perejil  +  perifollo  +  vinagre de jerez
133,   almeja  +  carrillera de rapet  +  oronja  +  pie de ternera  +  cebollino  +  cebolla tierna  +  vinagre balsámico  +  pimienta rosa
134,   pez músico  +  alcachofa  +  endivia  +  espárrago verde  +  calabacín  +  cep  +  trufa negra  +  aceite de oliva  +  vinagre de jerez  +  sal
135,   llucets  +  habita  +  aceite de bogavante  +  ajo  +  perejil  +  bacon  +  berenjena  +  sal
136,   gambas  +  foie-gras de pato  +  senderuela  +  salsifís  +  espárrago verde  +  puerro  +  cep  +  piñón  +   cebollino  +  vinagre de jerez  +  sal
137,   rodaballo  +  salsifís  +  cresta de gallo  +  perejil  +  perifollo  +  cebollino  +  trufa negra  +  sal
138,   móllera  +  cabeza de ternera  +  zanahoria  +  puerro  +  apio  +  trompeta de la muerte  +  sepia  +  col  +  cebolla tierna  +   alioli  +  trufa negra  +  ajo tierno  +  sal
139,   raya  +  alubia  +  almeja  +  ajo  +  perejil  +  trufa negra
140,   escórpora  +  langosta  +  caracol  +  sofrito  +  perejil  +  sal
141,   raya  +  pie de cerdo  +  jugo de carne  +  puerro  +  cebolla tierna  +  ajo tierno  +  bogavante  +  cep  +  vinagre de jerez  +  cebollino  +  sal
142,   foie-gras de pato  +  cebolla tierna  +  trufa negra  +  senderuela  +  cebollino  +  sal
143,   conejo  +  pulpito  +  jugo de carne  +  canela  +  cebollita  +  setas  +  vermut blanco dulce  +  perejil  +  sal
144,   pie de cordero  +  almeja  +  carrillera de rapet  +  salsifís  +  senderuela  +  nata
145,   callos  +  cigala  +  trufa negra  +  endivia  +  ajo  +  perejil  +  sal
146,   entrecôte de ternera  +  foie-gras de pato  +  trufa negra  +  oporto  +  espárrago verde  +  jugo de carne  +  sal
147,   pie de cerdo  +  jugo de carne  +  calçots  +  espardenya  +  trufa negra  +  cep  +  sal
148,   limón  +  plátano  +  tomillo  +  lima
149,   chocolate  +  manzana  +  azafrán  +  nata
150,   miel  +  mató  +  frambuesa
151,   café  +  praliné  +  nata  +  chocolate  +  azafrán  +  queso fresco  +  manzana
152,   hojaldre  +  fruto rojo  +  queso fresco  +  naranja  +  mantequilla  +  grand marnier
153,   chocolate  +  nata
154,   chocolate  +  nata  +  piñón
155,   naranja  +  mandarina  +  pomelo  +  limón  +  té
156,   cacao  +  mantequilla  +  azúcar
157,   azúcar  +  limón  +  mantequilla noisette  +  avellana
158,   coco  +  chocolate
159,   almendra  +  tomate  +  orégano  +  aceite de oliva virgen  +  sal
160,   caviar  +  manzana  +  agua de mejillón
161,   trufa negra  +  pasta fresca  +  jamón ibérico  +  perifollo  +  nabo
162,   sepia  +  tuétano  +  parmesano  +  llenega  +  acedera  +  coca de pan
163,   pasta sablée  +  parmesano  +  avellana  +  menta  +  perifollo  +  lavanda  +  hinojo  +  salvia  +  cebollino  +  vinagre balsámico
164,   lengua de cordero  +  salsa de soja  +  vinagre de jerez  +  salmonete  +  melocotón  +  espárrago verde
165,   sardina de la costa  +  tomate  +  oreja de cerdo  +  cebolla tierna  +  alcachofa  +  minihinojo  +  minizanahoria  +  nabo  +  aceite de oliva  +  vinagre balsámico  +  sal
166,   erizo  +  cep  +  hinojo
167,   mejillón de roca  +  oreja de cerdo  +  hinojo  +  perrechico  +  hierba de los canónigos  +  vinagre de jerez  +  sal
168,   bonito  +  jengibre  +  coco  +  cebollino  +  bacon  +  manzana  +  aceite de oliva  +  sal
169,   cigala  +  cep  +  mató  +  ajo tierno  +  piñón  +  cebollino  +  vinagre de jerez
170,   cep  +  cebollita tierna  +  jugo de carne  +  sal
171,   habita  +  hierbabuena  +  oreja de cerdo  +  mostaza  +  vinagre de jerez  +  gambita  +  cebollita platillo  +  cebollita tierna  +  seso de cordero  +  sal
172,   angula  +  oronja  +  tartufo  +  ajo tierno  +  sal
173,   ostra  +  huevo  +  jengibre  +  melisa  +  senderuela  +  perejil  +  jamón ibérico
174,   cigala  +  consomé  +  manzana  +  cebollino  +  caviar
175,   vieiras  +  caviar  +  col china  +  limón  +  cebollino
176,   percebe  +  huevo  +  albariño  +  laurel
177,   cigarra de mar  +  morilla  +  rebozuelo  +  trompeta de la muerte  +  habita  +  perejil  +  perifollo  +  cebollino  +  vinagre balsámico  +  minicalabacín  +         cebollita platillo  +  almendra  +  riñón de conejo  +  lengua de conejo  +  costillita de conejo  +  carrillera de conejo  +  hígado de conejo  +  sal
178,   rodaballo  +  chipirón  +  foie-gras de pato  +  apio-nabo  +  espárrago verde  +  sal
179,   dorada  +  trufa negra  +  cep  +  piñón  +  puerro  +  panceta curada
180,   jugo de carne  +  rape  +  bígaros  +  ajo  +  trompeta de la muerte  +  manzana  +  sal
181,   bonito  +  tuétano de ternera  +  vino tinto  +  chalota  +  minihinojo  +  sal
182,   rapet  +  espinaca  +  oronja  +  uva pasas  +  piñón  +  ajo  +  mantequilla  +  sal
183,   rapet  +  salmonete  +  espardenya  +  tomate  +  berenjena  +  vinagre de jerez  +  albahaca  +  sal
184,   lenguado  +  puerro  +  berro  +  perejil  +  perifollo  +  cebollino  +  jugo de trufa negra  +  almendra tierna  +  seso de cordero  +  jamón ibérico
185,   langosta  +  perdiz  +  aceite de oliva  +  vinagre de jerez  +  perejil  +  perifollo  +  cebollino  +  cebollita tierna  +  ajo  +  espárrago verde  +  habita  +  calabacín  +  zanahoria  +  coliflor  +  níscalo  +  sal
186,   tuétano de ternera  +  caviar  +  coliflor
187,   bogavante  +  manzana  +  berenjena  +  limón  +  mantequilla  +  lomo de conejo  +  ajo  +  vino blanco  +  pimentón  +  tomillo  +  romero  +  sal
188,   lengua de ternera  +  fondo de carne  +  sepieta  +  calçots  +  castaña  +  llenega  +  cebollita platillo  +  sal
189,   pato  +  pera  +  endivia  +  sal
190,   higo  +  fruta de la pasión  +  toffee  +  rosas  +  cilantro en grano  +  dátil
191,   lima  +  azúcar moreno  +  ron  +  menta  +  plátano
192,   albaricoque  +  yogur  +  limón  +  canela
193,   fruta de la pasión  +  naranja  +  frambuesa  +  pistacho
194,   frambuesa  +  pistacho  +  azúcar
195,   menta  +  chocolate
196,   chocolate  +  feuillantine
197,   patata  +  vainilla  +  cigala  +  limón  +  yema de huevo  +  nata  +  hierba de los canónigos  +  sal
198,   almendra tierna  +  tuétano de ternera  +  albahaca  +  ahumado  +  sal
199,   pasta fresca  +  coco  +  aguacate  +  coliflor  +  caviar
200,   coco  +  sardina  +  chalota  +  hierbabuena  +  curry  +  sal
201,   apio  +  trufa negra  +  sal
202,   maíz  +  trufa negra  +  aceite de oliva  +  foie-gras de pato  +  sal
203,   foie-gras de pato  +  trufa negra  +  cebollino  +  pimienta rosa  +  pimienta negra  +  pimienta blanca  +  lechuga  +  trompeta de la muerte  +  consomé  +  sal
204,   pichón  +  consomé  +  foie-gras de pato  +  trufa negra  +  cebolla tierna  +  sal
205,   cep  +  cabeza de ternera  +  perejil  +  perifollo  +  cebollino  +  ahumado  +  sal
206,   mozzarella  +  panceta curada  +  orejón  +  mostaza  +  caramelo  +  menta  +  vinagre de jerez  +  aceite de oliva
207,   arroz  +  leche  +  parmesano  +  trufa negra  +  albahaca
208,   seso de cordero  +  oreja de cerdo  +  manzana  +  huevo  +  nata  +  caviar  +  perejil
209,   macarrón  +  tuétano de ternera  +  calabaza  +  gambas  +  trufa negra  +  bacon  +  parmesano  +  naranja  +  orégano
210,   macarrón  +  trufa blanca  +  cangrejo de río  +  foie-gras de pato  +  ajo tierno  +  cebollino  +  sal
211,   sardina  +  coliflor  +  oreja de cerdo  +  trufa negra  +  mantequilla  +  perejil  +  sal
212,   bogavante  +  lenteja  +  yema de huevo  +  orégano  +  mostaza  +  caramelo  +  perejil  +  vinagre de jerez  +  cabeza de ternera  +  zanahoria  +   calabacín  +  coliflor  +  sal
213,   espardenya  +  tomate  +  azúcar  +  panceta curada  +  seso de cordero  +  habita  +  jengibre  +  hierba luisa  +  jugo de carne  +  sal
214,   costilla de cabrito  +  tomate  +  mozzarella  +  berenjena  +  pan  +  endivia  +  jugo de carne  +  riñón de cabrito  +  hígado de cabrito  +    molleja de cabrito  +  oporto  +  trufa negra  +  sal
215,   lomo de cordero  +  pimienta rosa  +  mostaza en polvo  +  canela  +  vainilla  +  jugo de cordero  +  naranja  +  piñón  +  agua de azahar  +  sal
216,   foie-gras de pato  +  pimentón  +  aceite de oliva  +  consomé  +  coliflor  +  cebolla tierna  +  almendra tierna  +  calabacín  +            panceta curada
217,   lichi  +  arándano  +  manzana  +  hinojo fresco  +  uva pasas
218,   manzana  +  albahaca  +  queso fresco
219,   albaricoque  +  arroz  +  leche  +  naranja  +  limón  +  canela
220,   chocolate  +  vainilla  +  leche  +  yema de huevo
221,   manzana  +  hojaldre  +  miel  +  albahaca  +  nata
222,   pasta sablée  +  limón  +  vainilla  +  pomelo  +  hierba luisa
223,   chocolate  +  mandarina  +  licor de mandarina
224,   pasta sablée  +  frambuesa  +  azúcar  +  nata
225,   leche  +  azúcar  +  vainilla
226,   chicharrón  +  hojaldre  +  azúcar
227,   almendra  +  curry  +  sal
228,   patata  +  anís estrellado  +  sal
229,   alcachofa  +  sal
230,   bonito  +  cereza  +  jengibre  +  vinagre  +  hierba luisa  +  sal
231,   maíz  +  vainilla  +  pasta fresca  +  sal
231a,   maíz  +  caviar  +  pasta fresca
231b,   nuez de macadamia  +  tomate  +  crema doble  +  vainilla  +  sal
232,   caviar  +  almendra
233,   almendra  +  jugo de trufa negra  +  sal
234,   melón  +  jamón ibérico
235,   aguacate  +  aceite ahumado  +  yogur  +  pipa de girasol  +  sal
236,   jugo de trufa negra  +  queso cremoso  +  rossinyol  +  menudillos de conejo  +  perifollo  +  sal
237,   remolacha  +  yogur  +  rosas  +  sal
238,   mató  +  remolacha  +  caviar
239,   mejillón  +  cilantro  +  naranja  +  sal
240,   judía blanca  +  erizo  +  sal
241,   masa de pizza  +  mozzarella de búfala  +  caviar  +  cebolla tierna  +  limón
242,   parmesano  +  leche  +  arroz  +  albahaca  +  tomate  +  trufa negra  +  sal
243,   habita  +  panceta a la pimienta  +  mozzarella de búfala  +  cigala  +  rosas  +  cebollino  +  sal
244,   brie  +  cañaillas  +  curry  +  aceite ahumado  +  miel  +  ciruela  +  hierba de los canónigos
245,   cigala  +  minicalabacín en flor  +  fideo de soja  +  salsa de soja  +  agua de azahar  +  zumo de  limón  +  sal
246,   pollo  +  aceite ahumado  +  alcachofa  +  bogavante  +  albahaca  +  mató  +  sal
247,   almendra  +  remolacha  +  tomate  +  melocotón  +  albahaca  +  maíz  +  coliflor  +  aguacate  +  almendra tierna  +  sal
248,   almeja  +  jugo de pollo  +  tomillo limonero  +  minicalabacín  +  lichi  +  shitake  +  endivia  +  maíz  +  sal
249,   cep  +  espárrago verde  +  parmesano  +  mandarina  +  nuez de macadamia  +  sal
250,   caracol  +  cep  +  vinagreta de hierbas  +  morralet  +  ajo tierno  +  nuez  +  yogur  +  mató  +  hierbas frescas  +  azúcar  +  vinagre  +  sal
251,   vieiras  +  avellana  +  guindilla  +  champiñón  +  flor de sal  +  grosella
252,   espardenya  +  panceta curada a la pimienta  +  apio-nabo  +  manzana Granny Smith  +  fondo de carne  +  apio  +  leche  +  brie  +  sal
253,   callos  +  piñón  +  px  +  ajo  +  berenjena  +  calamar  +  pan rallado  +  perejil  +  sal
254,   salmonete  +  médula de ternera  +  patata  +  jamón ibérico  +  ratafía  +  col  +  naranja  +  azúcar  +  aceite de oliva  +  sal
255,   alcachofa  +  nata  +  aceite de oliva virgen  +  acedera  +  panceta fresca  +  perejil  +  morralet  +  rodaballo  +  vinagre de cabernet sauvignon  +  agua de mar
256,   escórpora  +  aceite ahumado  +  minicalabacín en flor  +  brie  +  albahaca  +  pomelo  +  tuétano de ternera  +  perifollo  +  cebollino  +  sal
257,   caballa  +  aceite ahumado  +  salsa romesco  +  cabeza de ternera  +  escarola  +  ajo  +  queso de cabra  +  perifollo  +  aceite de oliva  +  sal
258,   tomate  +  mejillón  +  garbanzo  +  cabeza de ternera  +  almendra tierna  +  aceite de oliva  +  orégano  +  sal
259,   espalda curada de cerdo ibérico  +  calabaza  +  cebolla tierna  +  habita tierna  +  rossinyol  +  espinaca  +  nabo  +  castaña  +  brote de coliflor  +  jamón ibérico  +  minizanahoria  +  pie de cerdo  +  sal
260,   foie-gras de pato  +  mango  +  azúcar  +  vinagre de cabernet sauvignon  +  endivia  +  perifollo  +  aceite de oliva  +  pimienta negra  +  sal
261,   espaldita de conejo  +  salsa salmorejo  +  espárrago verde  +  mango  +  vinagre de jerez  +  piel de limón  +  mascarpone  +  sal
262,   queso fresco  +  miel  +  mango  +  arándano
263,   melocotón  +  manzana  +  calabacín  +  apio-nabo  +  dátil  +  flor de calabacín  +  yogur natural
264,   rosas  +  canela  +  mandarina
265,   hinojo  +  cereza  +  champiñón  +  yogur  +  caramelo líquido  +  zumo de limón
266,   leche de coco  +  frambuesa  +  plátano  +  fresa de bosque  +  zumo de limón  +  pimienta rosa
267,   mató  +  frambuesa  +  vainilla  +  aceite de oliva  +  orégano  +  tomate
268,   café  +  toffee  +  azafrán  +  anís estrellado  +  te  +  cardamomo  +  canela  +  piñón  +  baileys  +  chocolate
269,   avellana  +  chocolate  +  hierba luisa
270,   pistacho verde  +  plátano  +  pimienta rosa  +  mascarpone  +  fresa de bosque  +  nata  +  leche de coco
271,   piña  +  bulbo de hinojo  +  anís estrellado  +  hinojo fresco  +  anís seco
272,   leche de coco  +  chocolate  +  curry  +  plátano
273,   chocolate blanco  +  azafrán  +  nata
274,   maíz frito  +  chocolate  +  sal
275,   mandarina  +  lichi  +  cilantro
276,   manzana  +  jazmín
277,   mango
278,   whiskey  +  café  +  nata  +  azúcar
